,Ax,Ay,Az,Position
0,0.28561440891154133,0.14183848958260156,0.041019766258803096,Idle
0,0.3316888174921087,0.1309187337664659,0.042098002816829114,Idle
0,0.3153867999706864,0.1299310997147759,0.04043427040948029,Idle
0,0.37449461997888567,0.1417579882894527,0.04334199142749783,Idle
0,0.31977857628496636,0.15590810058512958,0.04237633188143554,Idle
0,0.3694278440303461,0.16182648037797842,0.03437566744364904,Idle
0,0.3304874572641622,0.15411111534890515,0.04338527537630127,Idle
0,0.3047514167407362,0.15930279113444257,0.04308897954414511,Idle
0,0.31706565295674083,0.1503725933605949,0.03743067642854849,Idle
0,0.30473333525382623,0.15969403787342978,0.03845817503123708,Idle
0,0.3470173885287011,0.1446153216183501,0.04044768486360899,Idle
0,0.3639598876055747,0.1600366248043918,0.037065562471717696,Idle
0,0.31958877025307203,0.1336919941051351,0.039904256147036715,Idle
0,0.370480336987914,0.14989030663646985,0.044833591420323816,Idle
0,0.30344292698728786,0.14008122237741663,0.04549905941921071,Idle
0,0.35778552094245186,0.15584990513812466,0.04018730350803148,Idle
0,0.308532933415662,0.16969060251486848,0.035703389245117234,Idle
0,0.3663565733369131,0.1371621677886552,0.039283968371183954,Idle
0,0.29458320498615564,0.1670353748564929,0.0439435514264255,Idle
0,0.2838024993965386,0.14066639380834414,0.040950469751408515,Idle
0,0.37232244868518527,0.15533099916325088,0.042971296337734464,Idle
0,0.2997241876116544,0.13085884374654078,0.036157682198857975,Idle
0,0.34838447972030717,0.13709052104842048,0.04386341935721718,Idle
0,0.3756807496810736,0.1407026641455512,0.04325288296701891,Idle
0,0.3103485036001382,0.17068427863813485,0.035631030232953755,Idle
0,0.3012578374937795,0.135401471916816,0.036636779483934054,Idle
0,0.36962737981713173,0.14085527424018365,0.039188630900995516,Idle
0,0.31324127335092344,0.13574933423410154,0.04045510069202841,Idle
0,0.3779892489382178,0.15160200432769036,0.04022404270398111,Idle
0,0.35067367099532226,0.1448997294045676,0.041289563896165705,Idle
0,0.36524166798054314,0.1528277340720978,0.04415261322772288,Idle
0,0.3101969670358216,0.14891115005429106,0.036758601696534644,Idle
0,0.3354538541015089,0.14227472946077152,0.03984575873770578,Idle
0,0.37694537841654874,0.1586178896132743,0.034438279243468414,Idle
0,0.35400203932349555,0.15024418118732114,0.037104209142041315,Idle
0,0.33834857771640814,0.14529323025112775,0.04256495373802939,Idle
0,0.29027872196051363,0.14112873931335676,0.040394846718319,Idle
0,0.3223030614317819,0.127605788473433,0.03776932474981957,Idle
0,0.36166880931504064,0.1459455460877029,0.03733093068437906,Idle
0,0.3763395520775456,0.15089902882377973,0.03918544533702582,Idle
0,0.32209902478115143,0.12896738609187303,0.040567836507318135,Idle
0,0.30239085206028193,0.1720304087393524,0.04411011006987715,Idle
0,0.29142164352940614,0.1713041046853305,0.034933492076377776,Idle
0,0.3656304491806189,0.13350706039730814,0.04172591241917374,Idle
0,0.37825889392457596,0.16500622469260104,0.04482388901449199,Idle
0,0.37894111688979193,0.13560326612975196,0.0365736318573337,Idle
0,0.29216612280593274,0.16907995107745474,0.036077682374417164,Idle
0,0.32949468210278765,0.16819976269638445,0.037317189911444414,Idle
0,0.32360674582250226,0.16402553340421044,0.04569941496734403,Idle
0,0.2827958264012487,0.13116575323124535,0.04491677440892233,Idle
0,0.35048841140394704,0.13414870552798167,0.043250368206697684,Idle
0,0.3385454405558384,0.15820157740743473,0.04154042843120023,Idle
0,0.33346998771614494,0.1650407297485026,0.03431856645249653,Idle
0,0.318008834815452,0.13974094604689816,0.045338888233197816,Idle
0,0.34462268224182213,0.13111656551541798,0.03540953530002005,Idle
